Country,ISO,Number of GEO Units,Number of ADM1 Units,Number of ADM2 Units,Number of Monthly Records - Unique IP,Number of Monthly Records - Latency,Average Records - Unique IP,Average Records - Latency
Afghanistan,AFG,7,5,7,21,21,3,3
Albania,ALB,13,9,13,37,32,2.85,2.46
Algeria,DZA,30,21,30,80,78,2.67,2.6
American Samoa,ASM,1,1,1,3,2,3,2
Andorra,AND,4,4,Only ADM1,12,10,3,2.5
Angola,AGO,9,3,9,27,22,3,2.44
Anguilla,AIA,1,Only ADM0,Only ADM0,3,3,3,3
Antigua and Barbuda,ATG,4,4,Only ADM1,8,7,2,1.75
Argentina,ARG,359,24,359,960,920,2.67,2.56
Armenia,ARM,8,8,Only ADM1,24,17,3,2.13
Aruba,ABW,1,Only ADM0,Only ADM0,3,3,3,3
Australia,AUS,598,8,598,1729,1646,2.89,2.75
Austria,AUT,99,9,99,297,247,3,2.49
Azerbaijan,AZE,7,7,Only ADM1,21,19,3,2.71
Bahamas,BHS,7,7,Only ADM1,16,16,2.29,2.29
Bahrain,BHR,5,5,Only ADM1,15,10,3,2
Bangladesh,BGD,18,6,18,51,48,2.83,2.67
Barbados,BRB,6,6,Only ADM1,14,14,2.33,2.33
Belarus,BLR,53,6,53,152,146,2.87,2.75
Belgium,BEL,11,11,11,42,34,3.82,3.09
Belize,BLZ,6,6,Only ADM1,16,16,2.67,2.67
Benin,BEN,2,2,2,6,6,3,3
Bermuda,BMU,7,7,Only ADM1,15,15,2.14,2.14
Bhutan,BTN,2,1,2,6,5,3,2.5
Bolivia,BOL,33,9,33,99,98,3,2.97
"Bonaire, Saint Eustatius and Saba",BES,1,Only ADM0,Only ADM0,3,3,3,3
Bosnia and Herzegovina,BIH,16,3,16,48,34,3,2.13
Botswana,BWA,1,1,1,3,3,3,3
Brazil,BRA,2938,27,2938,5669,5244,1.93,1.78
British Indian Ocean Territory,IOT,1,Only ADM0,Only ADM0,3,2,3,2
British Virgin Islands,VGB,1,Only ADM0,Only ADM0,3,3,3,3
Brunei,BRN,6,2,6,18,16,3,2.67
Bulgaria,BGR,142,28,142,422,353,2.97,2.49
Burkina Faso,BFA,4,4,4,12,12,3,3
Burundi,BDI,2,1,2,6,6,3,3
Cambodia,KHM,11,8,11,32,29,2.91,2.64
Cameroon,CMR,5,4,5,15,14,3,2.8
Canada,CAN,261,13,261,747,736,2.86,2.82
